month,net sales,
julio 23," $132,431.00 ",
agosto 23," $124,157.00 ",
septiembre 23," $66,510.00 ",
octubre 23," $144,056.00 ",
noviembre 23," $131,449.00 ",
diciembre 23," $83,825.00 ",
enero 24," $143,110.00 ",
feberero 24," $108,131.00 ",
marzo 24," $160,233.00 ",
abril 24," $177,043.00 ",
mayo 24," $303,252.00 ",
junio 24," $296,389.00 ",
julio 24," $341,977.00 ",
agosto 24," $156,931.00 ",
septiembre 24," $108,260.00 ",
octubre 24," $449,719.00 ",
noviembre 24," $498,185.00 ",
diciembre 24," $118,126.00 ",
enero 25," $216,207.43 ",
Average," $197,894.29 ",
